Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
65534,Bright Canyon Energy,66533,BCE Los Alamitos 1,CA,Orange,BCE12,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,8,2023,2.9,10,10,LIB,,,,0.1,CS,,,,,,,,,,,PR,Y,,,,Y,66533,BCE11, ,, ,,N
65642,Wolf Tank Storage LLC,66616,Wolf Tank Storage,TX,Webb,1,OP,Batteries,BA,IPP Non-CHP,2,150,150,150,7,2023,150,150,150,LIB,,,,49.3,CS,PR,Y,Y,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
65647,Resurgence Solar II,66620,Resurgence Solar II,CA,San Bernardino,GEN2,OP,Batteries,BA,IPP Non-CHP,2,40,40,40,8,2023,300,75,75,LIB,,,,24,CS,Y,,,Y,,,,,,,PR,Y,,,,Y,65647,GEN1, ,, ,,N
65652,"Sonoran Solar Energy, LLC",66627,Sonoran Solar Energy,AZ,Maricopa,SON13,OP,Batteries,BA,IPP Non-CHP,2,260,260,260,7,2023,1040,260,260,LIB,,,,98.5,CS,Y,Y,,,,,,,,,PR,Y,,,,Y,66627,SON12, ,, ,,N
64904,AES Clean Energy,66636,McFarland A Solar and Storage,AZ,Yuma,BESS,OP,Batteries,BA,IPP Non-CHP,2,100,100,100,12,2023,400,100,100,LIB,,,,45,CS,,Y,,Y,,,PR,,Y,,Y,Y,,,,Y,66636,MCFRA, ,, ,,Y
65727,Saint Energy Storage II LLC,66716,Saint Energy Storage II LLC,AZ,Pinal,SB123,OP,Batteries,BA,IPP Non-CHP,2,100,100,100,9,2023,400,100,100,LIB,,,,33,CS,Y,Y,,,,,,,,,PR,Y,,,,Y,63210,SAINT, ,, ,,N
65730,"Eastover Solar, LLC",66717,Eastover Solar,SC,Richland,STOR,OP,Batteries,BA,IPP Non-CHP,2,18,18,18,3,2023,72,18,18,OTH,,,,53.5,CS,,,PR,,,,,,,,,,Y,,,N, ,, ,, ,,N
64778,"Strata Manager, LLC",66727,Georgia Ballard BESS,VT,Franklin,GBBES,OP,Batteries,BA,IPP Non-CHP,2,5,5,5,5,2023,10,3,3,LIB,,,,5,CS,,Y,,,,,PR,,,,,,,,Y,N, ,, ,, ,,N
64778,"Strata Manager, LLC",66728,Springfield BESS,VT,Windsor,SFBES,OP,Batteries,BA,IPP Non-CHP,2,5,5,5,5,2023,10,3,3,LIB,,,,5,CS,,Y,,,,,PR,,,,,,,,Y,N, ,, ,, ,,N
64872,"Distributed Solar Development, LLC",66764,SCH - (2A) 156 Barhydt Rd Glenville,NY,Schenectady,3954B,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,7,2021,10,2.5,2.5,LIB,,,, ,CS,,,,,Y,,,,,,PR,,Y,,,Y,66764,3954, ,, ,,Y
64872,"Distributed Solar Development, LLC",66765,SCH County - (2B) 4982 Rynex Corners Rd,NY,Schenectady,3595B,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,12,2020,10,2.5,2.5,LIB,,,,10,CS,,,,,,,Y,PR,,,Y,,Y,,,Y,66765,3595, ,, ,,N
64872,"Distributed Solar Development, LLC",66767,Source Power Company - Richland,NY,Oswego,4725B,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,11,2021,9.5,2.5,2.5,LIB,,,,9.5,CS,,,,,,,Y,PR,,,Y,,Y,,,Y,66767,4725, ,, ,,N
64904,AES Clean Energy,66772,Estrella Solar & Storage,CA,Los Angeles,ESTRB,OP,Batteries,BA,IPP Non-CHP,2,28,28,28,12,2023,112,28,28,LIB,,,,16.3,CS,,Y,,Y,,,PR,,Y,,Y,Y,,,,Y,66772,ESPV, ,, ,,Y
64872,"Distributed Solar Development, LLC",66799,Bishop Ranch - BR 1-Y,CA,Contra Costa,4087B,OP,Batteries,BA,IPP Non-CHP,2,0.7,0.7,0.7,3,2022,1.3,0.7,0.7,LIB,,,, ,CS,Y,,Y,,,,Y,PR,,,Y,Y,,,,Y,66799,4087, ,, ,,N
65779,"SEPV Cuyama, LLC",66807,SEPV Cuyama Hybrid,CA,Santa Barbara,CUYA1,OP,Batteries,BA,IPP Non-CHP,2,3,3,3,12,2023,12,3,3,LIB,,,,3,CS,PR,,,,,,,,,,Y,,Y,,,Y,66807,CUYA2, ,, ,,N
65303,"SR McNeal, LLC",66925,SR McNeal,AZ,Cochise,MCBA,OP,Batteries,BA,IPP Non-CHP,2,20,20,20,12,2023,20,20,20,LIB,,,,20,BL,,,,,,,,,,,PR,Y,,,,Y,66925,MCNEA, ,, ,,Y
65838,SMT Mercedes LLC,66926,SMT Mercedes LLC,TX,Hidalgo,SMTNM,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,Y,,,,,,,PR,,,,,,Y,N, ,, ,, ,,N
65839,SMT Mission LLC,66927,SMT Mission LLC,TX,Hidalgo,SMTMB,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65844,SMT Santa Rosa LLC,66928,SMT Santa Rosa LLC,TX,Cameron,SMTSR,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
