Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet)
50123,"Leeward Asset Management, LLC",56212,Sweetwater Wind 2 LLC,TX,Nolan,SW2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,98.8,98.8,98.8,2,2005,61,GE,1.5 SLE,19.0,2,262.0
49903,Aeolus Wind LLC,56225,Aeolus Wind Facility,TX,Hansford,V90,OS,Onshore Wind Turbine,WT,IPP Non-CHP,2,3.0,3.0,3.0,12,2003,1,Vestas,V90-3.0,20.0,1,262.5
61012,AES Distributed Energy,56240,Buffalo Gap Wind Farm,TX,Taylor,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,120.6,120.6,120.6,4,2006,67,Vestas,V80-1.8,17.0,2,196.8
50012,"FPL Energy Callahan Wind, LLC",56270,Callahan Divide Wind Energy Center,TX,Taylor,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,114.0,114.0,114.0,3,2005,76,GE,1.5 SLE,19.0,2,262.5
50063,FPL Energy Horse Hollow LLC,56291,Horse Hollow Wind Energy Center,TX,Taylor,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,213.0,213.0,213.0,12,2005,142,GE,1.5 SLE,22.0,2,279.0
50063,FPL Energy Horse Hollow LLC,56291,Horse Hollow Wind Energy Center,TX,Taylor,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,223.5,223.5,223.5,6,2006,150,Siemens,SWT-2.3-93,22.0,2,262.4
50063,FPL Energy Horse Hollow LLC,56291,Horse Hollow Wind Energy Center,TX,Taylor,3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,299.0,299.0,299.0,6,2006,130,GE,1.5 SLE,22.0,2,279.0
50123,"Leeward Asset Management, LLC",56311,Sweetwater Wind 3 LLC,TX,Nolan,SW3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,135.0,144.0,144.0,12,2005,90,GE,1.5 SLE,19.0,2,262.0
50123,"Leeward Asset Management, LLC",56337,Sweetwater Wind 4 LLC,TX,Nolan,SW4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,241.0,241.0,241.0,5,2007,181,Mitsubishi,MWT-1000,16.5,1,230.0
50123,"Leeward Asset Management, LLC",56372,Sweetwater Wind 5,TX,Nolan,SW5,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,80.5,80.5,80.5,12,2007,35,Siemens,SWT-2.3-82 VS,16.5,1,262.4
56215,"RWE Renewables Americas, LLC",56394,Forest Creek Wind Farm LLC,TX,Glasscock,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,124.2,124.2,124.2,12,2006,54,Siemens,SWT-2.3-93,18.6,2,262.4
54759,Mesquite Wind LLC,56395,Mesquite Wind Power LLC,TX,Shackelford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,200.0,200.0,200.0,11,2007,97,Gamesa,G87-2.0,19.0,2,255.0
64668,"Wildorado Wind, LLC",56432,Wildorado Wind LLC,TX,Oldham,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,161.0,161.0,161.0,4,2007,70,Siemens,SWT-2.3-93,19.0,2,262.4
54870,FPL Energy Red Canyon LLC,56457,Post Wind Farm LP,TX,Borden,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,84.0,84.0,84.0,4,2006,56,GE,1.5 SLE,19.0,2,262.5
56215,"RWE Renewables Americas, LLC",56479,Sand Bluff Wind Farm,TX,Glasscock,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,89.5,89.5,89.5,1,2007,37,Gamesa,G87-2.0,18.6,2,255.9
54759,Mesquite Wind LLC,56483,Post Oak Wind LLC,TX,Shackelford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,200.0,200.0,200.0,3,2008,98,Gamesa,G87-2.0,19.0,2,255.0
61012,AES Distributed Energy,56484,Buffalo Gap 2 Wind Farm,TX,Nolan,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,232.5,232.5,232.5,7,2007,155,GE,1.5 S,17.0,2,201.0
49893,Invenergy Services LLC,56506,Scurry County Wind LP,TX,Scurry,SCW,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,130.5,130.5,130.5,5,2007,87,GE,1.5 SLE,18.6,2,263.0
65983,UPC Power Solutions,56560,Porterhouse Wind (4) LLC,TX,Hansford,JDW4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,79.8,79.8,79.8,1,2008,38,Suzlon,S88-2100,19.1,2,262.4
65983,UPC Power Solutions,56561,Filet Wind (5) LLC,TX,Sherman,JDW5,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,11,2006,8,Suzlon,S64-1250,20.0,2,244.4
65983,UPC Power Solutions,56562,Tenderloin Wind (6) LLC,TX,Sherman,JDW6,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,1,2007,8,Suzlon,S64-1250,20.0,2,244.4
56215,"RWE Renewables Americas, LLC",56592,Champion Wind Farm LLC,TX,Nolan,CH1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,126.5,126.5,126.5,2,2008,51,Siemens,SWT-2.3-93,18.6,2,262.4
56215,"RWE Renewables Americas, LLC",56593,Roscoe Wind Farm LLC,TX,Nolan,RO1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,209.0,209.0,209.0,2,2008,209,Mitsubishi,MWT-1000A,18.3,2,226.4
61012,AES Distributed Energy,56638,Buffalo Gap 3 Wind Farm,TX,Nolan,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,170.2,170.2,170.2,8,2008,74,Siemens,SWT-1.3-62,17.0,1,262.0
49893,Invenergy Services LLC,56644,Stanton Wind Energy LLC,TX,Martin,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,120.0,120.0,120.0,2,2008,80,GE,1.5 SLE,17.4,2,263.0
58353,NextEra Energy Majestic Wind,56648,Majestic 1 Wind Farm,TX,Carson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,79.5,79.5,79.5,1,2009,53,GE,1.5 SLE,19.0,2,262.5
55397,NRG Energy Inc,56649,South Trent Wind Farm,TX,Nolan,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,101.2,101.2,101.2,1,2009,44,Siemens,SWT-2.3-93,20.0,2,240.0
56545,Pattern Operators LP,56661,Pattern Gulf Wind,TX,Kenedy,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,283.2,283.2,283.2,12,2008,118,Mitsubishi,MWT-95/2.4,19.0,2,262.4
55922,Whirlwind Energy LLC,56673,Whirlwind Energy Center,TX,Floyd,WEC,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,59.8,57.0,57.0,12,2007,26,Siemens,SWT-2.3-93,17.7,2,262.4
64644,Goat Wind LP,56754,Goat Wind LP,TX,Sterling,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,80.0,80.0,80.0,4,2008,80,Mitsubishi,MWT-1000A,19.0,2,226.0
64644,Goat Wind LP,56754,Goat Wind LP,TX,Sterling,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,69.6,69.6,69.6,6,2009,29,Mitsubishi,MWT-95/2.4,19.0,2,262.4
55958,Capricorn Ridge Wind LLC,56763,Capricorn Ridge Wind LLC,TX,Sterling,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,149.5,149.5,149.5,11,2007,65,GE,1.5 SLE,19.0,2,262.4
55958,Capricorn Ridge Wind LLC,56763,Capricorn Ridge Wind LLC,TX,Sterling,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,214.5,214.5,214.5,11,2007,143,Siemens,SWT-2.3-82,19.0,2,262.4
55958,Capricorn Ridge Wind LLC,56763,Capricorn Ridge Wind LLC,TX,Sterling,3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,186.0,186.0,186.0,4,2008,124,GE,1.5 SLE,19.0,2,262.4
55958,Capricorn Ridge Wind LLC,56763,Capricorn Ridge Wind LLC,TX,Sterling,4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,112.5,112.5,112.5,5,2008,75,GE,1.5 SLE,19.0,2,262.4
62076,Silver Star I Power Partners LLC,56771,Silver Star I Wind Power Project,TX,Erath,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,52.8,52.8,52.8,9,2008,24,Vestas,V110-2.0,19.0,2,262.4
49893,Invenergy Services LLC,56773,McAdoo Wind Energy LLC,TX,Dickens,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,9,2008,100,GE,1.5 SLE,19.5,2,263.0
49893,Invenergy Services LLC,56774,Turkey Track Wind Energy LLC,TX,Nolan,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,169.5,169.5,169.5,11,2008,113,GE,1.5 SLE,17.4,2,263.0
49893,Invenergy Services LLC,56775,Scurry County Wind II,TX,Scurry,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,120.0,120.0,120.0,12,2007,80,GE,1.5 SLE,18.6,2,263.0
49893,Invenergy Services LLC,56776,Gunsight Mountain Wind Energy LLC,TX,Howard,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,120.0,120.0,120.0,6,2016,67,GE,1.79-100,17.9,2,262.4
55981,Elbow Creek Wind Project LLC,56783,Elbow Creek Wind Project LLC,TX,Howard,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,121.9,121.9,121.9,12,2008,53,Siemens,SWT-2.3-93,27.0,2,240.0
15399,Avangrid Renewables LLC,56795,Penascal Wind Power LLC,TX,Kenedy,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,201.6,201.6,201.6,4,2009,84,Mitsubishi,MWT-92/2.4,16.9,3,262.0
56033,Hackberry Wind LLC,56823,Hackberry Wind Farm,TX,Shackelford,HWFG1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,165.6,162.3,162.3,12,2008,72,Siemens,SWT-2.3-93,15.6,2,262.4
65983,UPC Power Solutions,56835,Ribeye Wind (11) LLC,TX,Moore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,5,2008,8,Suzlon,S64-1250,18.1,2,244.4
65983,UPC Power Solutions,56836,T-Bone Wind (10) LLC,TX,Moore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,8.8,8.8,8.8,5,2008,7,Suzlon,S64-1250,18.1,2,244.4
65983,UPC Power Solutions,56837,Tri-Tip Wind (9) LLC,TX,Moore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,4,2008,8,Suzlon,S64-1250,18.1,2,241.1
65983,UPC Power Solutions,56838,Brisket Wind (8) LLC,TX,Moore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,4,2008,8,Suzlon,S64-1250,18.1,2,241.1
65983,UPC Power Solutions,56839,Flat Iron Wind (7) LLC,TX,Moore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,4,2008,8,Suzlon,S64-1250,18.1,2,244.4
61671,Great Plains Windpark Legacy LLC,56905,Great Plains Windpark LLC,TX,Hansford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,114.0,114.0,114.0,1,2009,76,GE,1.5 SLE,19.0,2,262.0
56215,"RWE Renewables Americas, LLC",56920,Panther Creek Wind Farm I,TX,Howard,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,142.5,142.5,142.5,7,2008,95,GE,1.5 SLE,18.8,2,262.4
56215,"RWE Renewables Americas, LLC",56921,Panther Creek Wind Farm II,TX,Glasscock,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,115.5,115.5,115.5,12,2008,77,GE,1.5 SLE,18.1,2,262.4
56222,Bull Creek Wind LLC,56956,Bull Creek Wind,TX,Borden,001,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,180.0,180.0,180.0,12,2008,180,Mitsubishi,MWT-62/1.0,19.0,2,226.0
65411,Duke Energy Renewables Services,56959,Ocotillo Windpower,TX,Howard,OWF,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,58.8,58.8,58.8,9,2008,28,Suzlon,S88-2100,14.9,2,272.0
65411,Duke Energy Renewables Services,56961,Notrees Windpower Hybrid,TX,Ector,GE,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,60.0,60.0,60.0,4,2009,40,GE,1.5 SLE,15.0,2,272.0
65411,Duke Energy Renewables Services,56961,Notrees Windpower Hybrid,TX,Ector,VESTA,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,92.5,92.5,92.5,4,2009,56,Vestas,V82-1.65,15.8,2,272.0
