Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Bifacial?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
5701,El Paso Electric Co,60300,Montana Solar Facility,TX,El Paso,IMPV1,OP,Solar Photovoltaic,PV,Electric Utility,1,3.0,3.0,3.0,5,2017,,Y,,,,,,,,,,90, ,3.8,,Y,,,,,N, ,N, 
17650,Southern Power Co,60372,Lamesa Solar,TX,Dawson,LSPV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,102.0,100.0,100.0,4,2017,,Y,,,,,,,,,,77, ,130.5,Y,,,,,,N, ,N, 
60228,CoServ Electric,60427,CoServ Community Solar Station,TX,Denton,CSS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,2.0,2.0,6,2015,,,,Y,,,,,,,,180,25,2.6,Y,,,,,N,N, ,Y,1.5
17650,Southern Power Co,60436,East Pecos Solar,TX,Pecos,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,118.5,118.5,118.5,4,2017,,Y,,,,,,,,,,90, ,142.8,,Y,,,,,N, ,N, 
16604,City of San Antonio - (TX),60472,CPS 1 Community Solar,TX,Bexar,CPS1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.0,1.0,1.0,8,2016,,Y,,,,,,,,,N,180, ,1.1,,Y,,,,,N, ,N, 
56769,Consolidated Edison Development Inc.,60581,Upton County Solar,TX,Upton,UCTX,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,150.0,150.0,150.0,12,2017,,Y,,,,,,,,,,90, ,213,Y,,,,,,N, ,N, 
59359,"BHE Renewables, LLC",60682,Pearl Solar,TX,Pecos,PEARL,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,50.0,50.0,50.0,10,2017,,Y,,,,,,,,,,180,0,66.1,Y,,,,,,N, ,N, 
60400,"Phantom Solar, LLC",60774,Phantom Solar,TX,Bell,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,15.4,15.4,15.4,4,2017,,Y,,,,,,,,,,0,0,19.6,,,,,,Y,N, ,N, 
60476,"Bluebell Solar, LLC",60789,Bluebell Solar,TX,Sterling,UNIT1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.0,30.0,30.0,11,2018,,Y,,,,,,,,,,180,0,35.2,Y,,,,,,N, ,N, 
60636,"SolaireHolman 1, LLC",60989,SolaireHolman Solar Project,TX,Brewster,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,50.0,50.0,50.0,4,2017,,Y,,,,,,,,,,0, ,64.5,Y,,,,,,N, ,N, 
60520,SoCore Energy LLC,61205,Bandera Electric Coop PV,TX,Real,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,2,2017,,Y,,,,,,,,,,180, ,2,Y,,,,,,N, ,N, 
57389,IKEA Property Inc,61309,IKEA Grand Prairie Rooftop PV System,TX,Dallas,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,1.1,0.7,12,2017,,,,Y,,,,,,,,180,10,1.3,Y,,,,,,Y,1.2,N, 
60453,Onward Energy,61346,RE Maplewood,TX,Pecos,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,222.0,222.0,222.0,10,2021,,Y,,,,,,,,,,0,0,290,Y,,,,,,N, ,N, 
60453,Onward Energy,61346,RE Maplewood,TX,Pecos,PV2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,28.0,28.0,28.0,4,2021,,Y,,,,,,,,,,0,0,37,Y,,,,,,N, ,N, 
61801,Midway Solar,61368,Midway Solar - TX,TX,Pecos,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,182.0,182.0,182.0,12,2018,,Y,N,,,,,,,,,0, ,235.7,Y,,,,,,N, ,N, 
61060,Cypress Creek Renewables,61370,Walnut Springs Solar,TX,Bosque,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,12,2016,,,,Y,,,,,,,,180,20,7,Y,,,Y,,,N, ,N, 
61060,Cypress Creek Renewables,61409,Highway 56 Solar,TX,Grayson,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.3,5.3,5.3,12,2017,,,,Y,,,,,,,,180,20,7.2,Y,,,,,,N, ,N, 
61060,Cypress Creek Renewables,61410,Whitesboro Solar,TX,Grayson,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,12,2017,,,,Y,,,,,,,,180,20,7.1,Y,,,,,,N, ,N, 
61060,Cypress Creek Renewables,61411,Whitesboro Solar II,TX,Grayson,GEN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,12,2017,,,,Y,,,,,,,,180,20,7.1,Y,,,,,,N, ,N, 
61100,E-Volve Energy Holdings LLC,61493,E-Volve Energy Holdings LLC,TX,Austin,SEALY,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,1.2,1.2,12,2015,,Y,,,,,,,,,,90,0,1.6,,Y,,,,,N, ,N, 
